7741,test_category_labeling_highlight_upitt,95,3707,0,Other,"{""Other Type"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 9, ""selectedText"": ""Terms and Conditions Please refer to the order terms below. If you have any further questions, please contact us. Web orders will ship 5-7 business days from the time of purchase. Any defective items purchased directly from Lodge are eligible for full refund or exchange by contacting customer service. Shipping for returns/exchanges due to non-defect reasons (i.e. wrong size, color, no longer desired) will be the responsibility of the customer. Items bought from retailers should be returned/exchanged at the place of purchase. Transactions are transmitted using 128-bit secure socket layers (SSL) for up-to-date data protection"", ""value"": ""Practice not covered""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
8755,test_category_labeling_highlight_upitt,103,3707,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 620, ""selectedText"": ""Transactions are transmitted using 128-bit secure socket layers (SSL) for up-to-date data protection"", ""value"": ""Secure data transfer""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
23720,test_category_labeling_highlight_upitt,123,3707,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 720, ""startIndexInSegment"": 620, ""selectedText"": ""Transactions are transmitted using 128-bit secure socket layers (SSL) for up-to-date data protection"", ""value"": ""Secure data transfer""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
23721,test_category_labeling_highlight_upitt,123,3707,0,Other,"{""Other Type"": {""endIndexInSegment"": 609, ""startIndexInSegment"": 50, ""selectedText"": ""Please refer to the order terms below. If you have any further questions, please contact us. Web orders will ship 5-7 business days from the time of purchase. Any defective items purchased directly from Lodge are eligible for full refund or exchange by contacting customer service. Shipping for returns/exchanges due to non-defect reasons (i.e. wrong size, color, no longer desired) will be the responsibility of the customer. Items bought from retailers should be returned/exchanged at the place of purchase."", ""value"": ""Other""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
7742,test_category_labeling_highlight_upitt,95,3707,1,Other,"{""Other Type"": {""endIndexInSegment"": 613, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy This privacy policy has been compiled to better serve those who are concerned with how their 'Personally identifiable information' (PII) is being used online. PII, as used in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website."", ""value"": ""Introductory/Generic""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
8756,test_category_labeling_highlight_upitt,103,3707,1,Other,"{""Other Type"": {""endIndexInSegment"": 613, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy This privacy policy has been compiled to better serve those who are concerned with how their 'Personally identifiable information' (PII) is being used online. PII, as used in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website."", ""value"": ""Introductory/Generic""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
23722,test_category_labeling_highlight_upitt,123,3707,1,Other,"{""Other Type"": {""endIndexInSegment"": 613, ""startIndexInSegment"": 44, ""selectedText"": ""This privacy policy has been compiled to better serve those who are concerned with how their 'Personally identifiable information' (PII) is being used online. PII, as used in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our website."", ""value"": ""Introductory/Generic""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
7743,test_category_labeling_highlight_upitt,95,3707,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 228, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
7744,test_category_labeling_highlight_upitt,95,3707,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 230, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
7745,test_category_labeling_highlight_upitt,95,3707,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 39, ""startIndexInSegment"": 32, ""selectedText"": ""collect"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 103, ""selectedText"": ""When ordering or registering on our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 303, ""startIndexInSegment"": 257, ""selectedText"": ""other details to help you with your experience"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 186, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 192, ""selectedText"": ""name, email address, mailing address, credit card information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 304, ""startIndexInSegment"": 161, ""selectedText"": ""you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience."", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 144, ""startIndexInSegment"": 108, ""selectedText"": ""ordering or registering on our site,"", ""value"": ""Basic service/feature""}}",10/1/14,https://www.lodgemfg.com/page.asp?p_key=0A23CFF9980440FC8D283BC55A36328C
